"M_T","lia_080314_049_pos","lia_080314_050_pos","lia_080314_051_pos","lia_080314_052_pos","lia_080314_053_pos","lia_080314_054_pos","lia_080314_055_pos","lia_080314_056_pos","lia_080314_057_pos","lia_080314_058_pos","lia_080314_059_pos"
"226.1448_3.518",1.784093122,3.061938122,0.653294336,0.504354396,0.685275037,0.393065555,1.536862226,0.892806788,0.777936819,1.092324211,0.578044017
"91.0542_3.0004",0.620705681,0.822720458,0.801100605,0.854046799,1.291289174,0.559168056,0.900919364,1.209174224,1.01020952,0.505830694,0.705278081
"226.1447_3.3728",0.836335995,1.44803053,0.52685188,0.578466529,0.579261984,0.52846689,0.762854319,0.751639372,0.625725131,0.929192998,0.487105936
"144.1024_0.3349",1.624397572,2.381422925,3.079705375,1.259400068,1.553967383,0.561859224,1.736164777,0.829449038,0.22891581,0.389491041,0.985073354
"401.1371_3.56",0,0.291154423,0.144701934,0.14507457,0.207002757,0.301957039,0.094399896,0.16524699,0.140078695,0.189522024,0.21230726
"203.1108_4.5108",0.533258928,0.891991277,0.886341422,0.283490996,0.386019213,0.517350875,0.58658996,0.383166615,0.347456502,0.653205056,0.431245076
"174.1122_3.5658",0.607651509,1.01964018,0.608145577,0.542673686,0.80469887,0.973359945,0.777129643,0.632125844,0.549018967,0.625879412,0.544566022
"240.1609_3.7951",0.684564264,1.334087502,0.600071811,0.866222993,0.31225233,0.4186442,0.643810607,0.674561791,0.63829305,1.124208285,0.337654772
"259.0972_4.9276",1.242745091,1.544642224,1.107811456,1.497220453,1.701761426,0.110126793,0.933371252,0.47070614,0.200886595,0.125022035,0.285259168
"109.1016_3.5073",0.881211451,1.391405206,0.7200762,0.827111718,0.639435893,0.786080918,0.934301805,0.697458765,0.763976322,0.867524221,0.501412151
"180.0664_2.6299",0.960475822,1.617680251,1.931335587,0.174084619,0.393124779,0.10612178,0.179352529,1.843640239,1.73187555,1.138348317,1.221800007
"255.0627_4.7981",0.222865176,0.813918495,1.183706851,0.524696697,0.631243669,0.586993524,0.940334552,0.240574656,0.406308258,0.197242863,0.163275874
"255.0661_4.3046",0.388116563,0.597554859,0.561849835,1.145115613,2.619572408,0.417454359,1.70651201,0.483401884,0.508434084,0.31345431,0.20449899
"172.0976_2.9571",0.519838185,0.827714325,0.523248856,0.35333006,0.461753357,0.599968113,0.53732657,0.441201622,0.382683429,0.556217359,0.390511358
"153.0662_1.1458",0.004281022,1.964724002,0.250895146,1.610896858,0.418775092,0.415359588,1.305928316,0.331307409,1.416726052,0.361134408,0.524631728
"77.0389_2.6184",0.858996284,1.449082731,1.90445628,0.210961311,0.413153106,0.126939582,0.1921192,1.703776395,1.577370804,1.085182079,1.209482959
"130.0657_3.4341",0.530203627,0.783083004,1.051656643,0.62928276,0.865191618,0.36162037,0.535493436,0.826264152,0.910233818,0.635144062,0.689031639
"103.0545_4.1297",0.775699635,1.538042797,1.146796425,0.038582271,0.073504437,0.034765228,0.027385126,1.360874498,1.403788549,1.003758923,1.107751278
"127.0398_1.8419",0.337547806,0.370042252,0.857599513,0.957319474,1.671599642,0.564798399,0.913861331,0.465285367,0.5143066,0.256627083,0.250497686
