"M_T","lia_080314_039_pos","lia_080314_040_pos","lia_080314_041_pos","lia_080314_042_pos","lia_080314_043_pos","lia_080314_044_pos","lia_080314_045_pos","lia_080314_046_pos","lia_080314_047_pos","lia_080314_048_pos"
"91.0542_3.0004",0.578535836,0.774834041,0.651944398,1.061377308,1.251946944,0.826892665,0.889503581,0.576232227,0.76934681,0.728128367
"226.1447_3.3728",0.375717586,1.124481759,0.336371791,0.826260165,0.863729838,0.683350904,0.600147456,0.377891029,0.893323166,0.412339351
"144.1024_0.3349",3.715315159,0.634638499,2.836138394,0.847752767,1.572693179,1.703725087,0.52088181,1.814224902,0.410523225,1.261790343
"401.1371_3.56",0.061069104,0.233473302,0.307697355,0.323780665,0.064405069,0.131476229,0.277493381,0.19052723,0.131765285,0.225807189
"203.1108_4.5108",0.08549201,0.63146431,0.389106511,0.439816926,0.167963663,0.269585572,0.484751512,0.390121864,0.255817423,0.657051136
"174.1122_3.5658",0.499781633,0.861874099,0.574779403,0.816470151,0.552940938,0.533866325,0.900330993,0.380992233,0.522324791,0.44338633
"240.1609_3.7951",0.17509616,1.013181515,0.20813059,0.924409057,0.886901741,0.58933263,0.367502776,0.673175979,1.12804725,0.401574657
"259.0972_4.9276",2.366722442,1.186903041,0.770264631,1.35835486,2.87209191,2.565967167,0.714511555,0.044078503,0.56158914,0.16307771
"109.1016_3.5073",0.573710714,1.392437285,0.322745518,0.852354849,0.724483788,0.783701073,0.628214715,0.472825728,1.173459383,0.350335717
"180.0664_2.6299",2.80744237,1.313602748,0.048238878,0.174954799,0.604636121,0.407611242,0.955290738,0.663204375,2.124719963,0.329944609
"255.0627_4.7981",0.1157661,0.670962372,1.46680821,0.30630249,0.930495894,0.692466991,0.557711045,0.814020441,0.258076663,0.162379071
"255.0661_4.3046",0.730442996,0.43732527,0,0.953305008,3.372798176,2.476793514,0.442834509,0,0.580840039,0.001453865
